Time,Temperature,Humidity,Pressure,IQAScore,eCO2Value
0,27.29,33,100958,25,337
5,27.52,34,100964,20,317
10,27.48,33,100958,25,337
15,27.49,32,100958,25,337
20,27.51,31,100958,30,358
25,27.52,31,100962,30,358
30,27.54,31,100950,30,358
35,27.56,30,100954,35,380
40,27.57,30,100958,35,380
45,27.6,29,100954,35,380
50,27.59,29,100956,35,380
Time,Temperature,Humidity,Pressure,IQAScore,eCO2Value
0,27.29,33,100958,25,337
5,27.52,34,100964,20,317
10,27.48,33,100958,25,337
15,27.49,32,100958,25,337
20,27.51,31,100958,30,358
25,27.52,31,100962,30,358
30,27.54,31,100950,30,358
35,27.56,30,100954,35,380
40,27.57,30,100958,35,380
45,27.6,29,100954,35,380
50,27.59,29,100956,35,380
Time,Temperature,Humidity,Pressure,IQAScore,eCO2Value
0,27.29,33,100958,25,337
5,27.52,34,100964,20,317
10,27.48,33,100958,25,337
15,27.49,32,100958,25,337
20,27.51,31,100958,30,358
25,27.52,31,100962,30,358
30,27.54,31,100950,30,358
35,27.56,30,100954,35,380
40,27.57,30,100958,35,380
45,27.6,29,100954,35,380
50,27.59,29,100956,35,380
Time,Temperature,Humidity,Pressure,IQAScore,eCO2Value
0,27.29,33,100958,25,337
5,27.52,34,100964,20,317
10,27.48,33,100958,25,337
15,27.49,32,100958,25,337
20,27.51,31,100958,30,358
25,27.52,31,100962,30,358
30,27.54,31,100950,30,358
35,27.56,30,100954,35,380
40,27.57,30,100958,35,380
45,27.6,29,100954,35,380
50,27.59,29,100956,35,380
Time,Temperature,Humidity,Pressure,IQAScore,eCO2Value
0,27.29,33,100958,25,337
5,27.52,34,100964,20,317
10,27.48,33,100958,25,337
15,27.49,32,100958,25,337
20,27.51,31,100958,30,358
25,27.52,31,100962,30,358
30,27.54,31,100950,30,358
35,27.56,30,100954,35,380
40,27.57,30,100958,35,380
45,27.6,29,100954,35,380
50,27.59,29,100956,35,380
Time,Temperature,Humidity,Pressure,IQAScore,eCO2Value
0,27.29,33,100958,25,337
5,27.52,34,100964,20,317
10,27.48,33,100958,25,337
15,27.49,32,100958,25,337
20,27.51,31,100958,30,358
25,27.52,31,100962,30,358
30,27.54,31,100950,30,358
35,27.56,30,100954,35,380
40,27.57,30,100958,35,380
45,27.6,29,100954,35,380
50,27.59,29,100956,35,380
